"","SurveyType","UniqueID_long","UniqueID_short","TimeTaken","StartDate","StartTime","CompletionDate","CompletionTime","Q1_aware_stork","Q2_photo_recog","Q2_photo_recog_score","Q3_is_native","Q3_is_native_explain","Q4.1_migrate","Q4.1_migrate_score","Q4.2_wingspan","Q4.2_wingspan_score","Q4.3_globallyrare","Q4.3_globallyrare_score","Q4_overallscore","Q5a_amphibians_diet","Q5b_birdeggs.chicks_diet","Q5c_carrion_diet","Q5d_fish_diet","Q5e_foodwaste_diet","Q5f_fruit_diet","Q5g_inverts_diet","Q5h_reptiles_diet","Q5i_seeds_diet","Q5j_smallmammals_diet","Q5k_vegetation_diet","Q5l_Don.tKnow_diet","Q5_rawscore_diet","Q5_diet_overallscore","Q6a_farmland_habitat","Q6b_grassland_habitat","Q6c_wetlands_habitat","Q6d_woodland_habitat","Q6e_urban_habitat","Q6f_Don.tKnow_habitat","Q6_habitat_rawscore","Q6_habitat_overallscore","Q7a_chimneys_nesting","Q7b_ground_nesting","Q7c_roofs_nesting","Q7d_telegraphpoles_nesting","Q7e_trees_nesting","Q7f_Don.tKnow_nesting","Q7_nesting_rawscore","Q7_nesting_overallscore","KnowledgeScore","Q8_wild_seen","Q8_captivity_seen","Q8_pictures_video","Q8_No","Q8_NotSure","Q8.1_UK","Q8.1_OutsideUK","Q8.2_feelings","Q9_heard","Q9a_what_heard","Q10_project_knowledge","Q10a_WSPwebsite","Q10a_Socialmedia","Q10a_TV.Radio","Q10a_Newspaper","Q10a_Email","Q10a_Magazine","Q10a_Leaflet","Q10a_spokesperson","Q10a_VisitingKnepp","Q10a_Wordofmouth","Q10a_Other","Q10a_Other_open","Q10b_WSPwebsite","Q10b_Socialmedia","Q10b_TV.Radio","Q10b_Newspaper","Q10b_Email","Q10b_Magazine","Q10b_Leaflet","Q10b_spokesperson","Q10b_NotInterested","Q10b_Other","Q10b_Other_open","Q11_word1","Q11_word2","Q11_word3","Q12.1..White.storks.symbolise.the.beauty.of.nature.","Q12.1_agreement_score","Q12.2..White.storks.play.an.important.role.in.their.environment.","Q12.2_agreement_score","Q12.3..Reintroduced.white.storks.may.have.a.negative.impact.on.my.life.","Q12.3_agreement_score","Q12.4..I.do.not.want.white.storks.living.near.me.","Q12.4_agreement_score","Q12.5..White.storks.in.England.could.benefit.the.tourism.industry.where.they.re.found.","Q12.5_agreement_score","Q13.1..I.would.find.it.exciting.to.see.white.storks.in.the.wild.in.England.","Q13.1_agreement_score","Q13.2..White.storks.symbolise.hope..rebirth.and.new.life.","Q13.2_agreement_score","Q13.3..Money.spent.reintroducing.white.storks.would.be.better.spent.elsewhere.","Q13.3_agreement_score","Q13.4..White.storks.might.be.detrimental.to.local.wildlife.","Q13.4_agreement_score","Q13.5..There.is.no.need.to.reintroduce.the.white.stork.to.England.as.it.is.a.common.species.throughout.mainland.Europe.","Q13.5_agreement_score","Q14.1..I.think.white.storks.are.useless.birds.","Q14.1_agreement_score","Q14.2..White.storks.are.part.of.our.cultural.and.natural.heritage.","Q14.2_agreement_score","Q14.3..The.reintroduced.white.stork.can.help.people..re.connect.with.the.natural.world.","Q14.3_agreement_score","Q14.4..The.countryside.will.be.worse.off.with.white.storks.around.","Q14.4_agreement_score","OverallAttitudeScore","Q14.5..Overall..I.support.efforts.that.aim.to.reintroduce.the.UK.s.lost.species.and.restore.its.natural.systems.","Q14.5_agreement_score","Q15_WSP_support","Q15_WSP_support_open","Q16_views_management","Q16_views_management_open","Q17.1_Nest_monitoring","Q17.2_Nesting_platforms","Q17.3_Discouragenestbuilding","Q17.4_Nest_removal","Q17.5_Tracking","Q17.6_Public_engagement","Q17.7_Supplementary_food","Q17.8_compensation_storkdamage","Q17.9_Stork_relocation","Q17.10_Culling","Q17_11.management.not.needed","Q17.12_Don.tknow","Q17.13_other","Q17.13a_other_open","Q18_exp_nature","Q18a_dogwalking","Q18a_walking","Q18a_running.cycling","Q18a.golf","Q18a.picnic","Q18a.horse.riding","Q18a.bird.wildlife.watching","Q18a.photography","Q18a.camping","Q18a.fishing","Q18a.shooting.hunting","Q18a.water.sports.swimming","Q18a.gardening","Q18a.don.t.spend.free.time.in.green.natural.spaces","Q18a_other","Q18a_other_open","Q19.1..I.find.being.in.nature.really.amazing","Q19.1.score","Q19.2..Spending.time.in.nature.is.very.important.to.me","Q19.2.score","Q19.3..Being.in.nature.makes.me.very.happy","Q19.3.score","Q19.4..I.always.find.beauty.in.nature","Q19.4.score","Q19.5..I.always.treat.nature.with.respect","Q19.5.score","Q19.6..I.feel.part.of.nature","Q19.6.score","NCI","Q20.1..Damage.to.the.natural.environment","Q20.2..The.consequences.of.a.loss.of.variety.of.wildlife","EnvConcern.score","Q21.1..When.I.see.litter..I.pick.it.up","Q21.1.score","Q21.2..I.vote.for.nature.or.wildlife.conservation.friendly.legislation.in.local.or.national.referendums.votes.etc.","Q21.2.score","Q21.3..I.get.in.touch.with.local.authorities.on.nature.conservation.issues","Q21.3.score","Q21.4..I.vote.for.parties..candidates.with.strong.pro.nature.conservation.policies.in.elections","Q21.4.score","ProCoBS","Q22....Are.you.a.member.of.any.environmental..wildlife.or.conservation.organisations.","Q22.a..Which.ones...Optional..","Q23.1..I.pay.attention.to.birds.wherever.I.go.","Q23.1..Score","Q23.2..I.can.identify.common.birds.in.my.area.","Q23.2.Score","Q23.3..Seeing.a.new.bird.fills.me.with.excitement.","Q23.3.Score","Q23.4..I.am.not.interested.in.birds.","Q24.4.score","BirdInterestScore","Age_group","Gender","Gender_other","Region","County","Area_type","Postcode","ReleaseSite","Q27_Knepp_visit","Q27.a_Knepp_activity","Q27.a_Knepp_activity_other","Education","Education_other","Occupation","Occupation_other","Q30_Press","Q30_TV.Radio","Q30_Facebook","Q30_Twitter","Q30_Social_media","Q30_Durrell.WSP","Q30_Other_wildlife.nature.org.","Q30_Farming_org.","Q30_Business_org.","Q30_Tourism_org.","Q30_Local_council","Q30_Friend.family","Q30_Researcher","Q30_other","Q30.a_Other_open","Q31_comments","Age_group_match","SecsTaken"
"235","Proactive","633801-633792-65297072",235,"00:04:37","16/09/2020","11:58:32","16/09/2020","12:03:09","Yes","B",1,"No","","FALSE",0,"TRUE",1,"FALSE",1,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0.4,0,1,0,0,0,0,3,0.6,0,0,0,0,1,0,2,0.4,4.4,0,1,0,0,0,NA,NA,NA,"Yes","","I have heard something but don’t know much",0,0,0,0,0,0,0,0,1,0,0,NA,1,1,0,0,0,0,0,0,0,0,NA,"Large","Magnificent","Rare","Strongly agree",5,"Strongly agree",5,"Strongly disagree",5,"Strongly disagree",5,"Strongly agree",5,"Strongly agree",5,"Strongly agree",5,"Strongly disagree",5,"Strongly disagree",5,"Strongly disagree",5,"Strongly disagree",5,"Strongly agree",5,"Strongly agree",5,"Strongly disagree",5,5,"Strongly agree",5,"Yes","","No","",1,0,0,0,0,1,0,0,0,0,0,0,0,"","1-2 days",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"","Completely agree",7,"Completely agree",7,"Completely agree",7,"Completely agree",7,"Completely agree",7,"Completely agree",7,100,"Extremely concerned","Extremely concerned",10,"Occasionally",3,"Frequently",5,"Occasionally",3,"Frequently",5,16,"Yes","","Strongly agree",5,"Neither agree or disagree",3,"Strongly agree",5,"Strongly disagree",5,18,"35-44","Female","","South East","West Sussex","Urban","BN17 6SU","No","Yes","Walk/hiking,Nature watching","","Undergraduate degree","","Business & Finance","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","","35-44",81
"303","Proactive","633801-633792-65375635",303,"00:05:09","18/09/2020","09:46:04","18/09/2020","09:51:13","No","Don't know",0,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0.4,0,0,0,0,0,1,0,0,0.4,0,0,0,1,0,NA,NA,NA,"No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,NA,"Large","White","","Strongly agree",5,"Don't know",NA,"Strongly disagree",5,"Strongly disagree",5,"Don't know",NA,"Strongly agree",5,"Agree",4,"Strongly disagree",5,"Don't know",NA,"Don't know",NA,"Strongly disagree",5,"Agree",4,"Agree",4,"Strongly disagree",5,NA,"Strongly agree",5,"Yes","","No","",1,1,0,0,1,1,1,0,1,0,0,0,0,"","3-4 days",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"","Completely agree",7,"Completely agree",7,"Completely agree",7,"Completely agree",7,"Completely agree",7,"Agree",5,84,"Concerned","Extremely concerned",9,"Never",1,"Never",1,"Never",1,"Never",1,4,"No","","Agree",4,"Strongly agree",5,"Strongly agree",5,"Strongly disagree",5,19,"45-54","Female","","South East","West Sussex","Urban","Rh12 2EX","Knepp-Wintershall","No","","","No formal qualifications","","Healthcare","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","","45-54",104
"608","Proactive","633801-633792-65616788",608,"00:05:07","24/09/2020","20:25:52","24/09/2020","20:30:59","Yes","B",1,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,1,0,1,1,1,1,1,1,1,0,0,0,7,0.6,1,0,1,0,0,0,4,0.8,0,1,0,0,0,0,0,0,2.4,1,0,0,0,0,1,0,"Very surprised","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,NA,"","","","Agree",4,"Don't know",NA,"Strongly disagree",5,"Strongly disagree",5,"Agree",4,"Strongly agree",5,"Agree",4,"Disagree",4,"Don't know",NA,"Disagree",4,"Disagree",4,"Don't know",NA,"Agree",4,"Disagree",4,NA,"Strongly agree",5,"Yes","","No","",1,1,0,0,1,1,0,0,0,0,0,0,0,"","Every day, 7 days",1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,"","Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,59,"Extremely concerned","Extremely concerned",10,"Frequently",5,"Very Frequently",6,"Frequently",5,"Frequently",5,21,"Yes","Hunt Sabs Association","Strongly agree",5,"Strongly agree",5,"Strongly agree",5,"Strongly disagree",5,20,"18-24","Male","","South East","Kent","Rural","CT31UY","No","No","","","Further Education","","Student","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","","18-24",102
"652","Proactive","633801-633792-65623325",652,"00:05:05","25/09/2020","07:04:21","25/09/2020","07:09:26","No","D",0,"Yes","","FALSE",0,"TRUE",1,"TRUE",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0.4,1,0,1,1,0,0,4,0.8,2.2,0,0,1,0,0,NA,NA,NA,"No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,NA,"","","","Neutral",3,"Agree",4,"Disagree",4,"Neutral",3,"Agree",4,"Agree",4,"Neutral",3,"Disagree",4,"Disagree",4,"Don't know",NA,"Disagree",4,"Agree",4,"Agree",4,"Disagree",4,NA,"Agree",4,"Yes","","Not sure","",1,1,0,0,0,1,0,1,0,0,0,0,0,"","3-4 days",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"","Agree",5,"Agree",5,"Agree",5,"Agree",5,"Agree",5,"Agree",5,34,"Concerned","Concerned",8,"Frequently",5,"Frequently",5,"Rarely",2,"Sometimes",4,16,"No","","Neither agree or disagree",3,"Disagree",2,"Agree",4,"Neither agree or disagree",3,12,"18-24","Female","","Greater London","","Urban","EC1R","No","No","","","Further Education","","Student","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,"call for participants website","","18-24",100
"1008","Proactive","633801-633792-66124599",1008,"00:04:36","08/10/2020","12:26:07","08/10/2020","12:30:43","No","Don't know",0,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0.4,0,0,0,0,0,1,0,0,0.4,0,0,0,1,0,NA,NA,NA,"No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,"","","","Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,NA,"Don't know",NA,"Not sure","","Not interested","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","3-4 days",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Strongly agree",6,"Agree",5,"Agree",5,"Agree",5,"Agree",5,"Neither agree or disagree",4,35,"Concerned","Concerned",8,"Always",7,"Frequently",5,"Sometimes",4,"Sometimes",4,20,"No","","Agree",4,"Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,13,"45-54","Female","","South East","West Sussex","Rural","Rh17 ","Knepp","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Unemployed","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","","45-54",80
"1246","Proactive","633801-633792-66347776",1246,"00:04:47","14/10/2020","15:22:20","14/10/2020","15:27:07","Yes","B",1,"Not sure","","FALSE",0,"FALSE",0,"Don't know",0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0.5,0,0,0,1,0,0,1,0.2,0,1,0,0,0,0,0,0,1.7,1,0,0,0,0,0,1,"","No","","I have heard something but don’t know much",1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,NA,"Bird","White","Beauty","Strongly agree",5,"Agree",4,"Agree",2,"Neutral",3,"Agree",4,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Strongly agree",1,"Agree",4,"Agree",4,"Agree",2,3.14,"Neutral",3,"Not sure","","Not interested","",0,0,0,0,0,0,0,0,1,0,0,0,0,"","3-4 days",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,"","Agree",5,"Strongly disagree",2,"Neither agree or disagree",4,"Strongly agree",6,"Agree",5,"Completely agree",7,46,"Concerned","Concerned",8,"Occasionally",3,"Frequently",5,"Frequently",5,"Frequently",5,18,"Yes","","Disagree",2,"Neither agree or disagree",3,"Agree",4,"Agree",2,11,"25-34","Female","","West Midlands","","Urban","CV1","No","No","","","Postgraduate degree (Masters; Doctorate)","","Architecture, Energy & Engineering","",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","","25-34",87
"1470","Proactive","633801-633792-66511911",1471,"00:04:51","19/10/2020","14:25:38","19/10/2020","14:30:29","No","B",1,"Not sure","","Don't know",0,"TRUE",1,"TRUE",0,1,0,0,0,1,0,0,1,0,0,1,0,0,6,0.5,0,0,1,0,0,0,3,0.6,0,1,0,0,0,0,0,0,3.1,0,0,0,1,0,NA,NA,NA,"No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,NA,"","","","Agree",4,"Agree",4,"Disagree",4,"Disagree",4,"Strongly agree",5,"Strongly agree",5,"Neutral",3,"Disagree",4,"Disagree",4,"Disagree",4,"Disagree",4,"Neutral",3,"Agree",4,"Disagree",4,4,"Strongly agree",5,"Yes","","Not sure","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","5-6 days",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"","Agree",5,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Agree",5,"Strongly agree",6,53,"Concerned","Concerned",8,"Occasionally",3,"Occasionally",3,"Occasionally",3,"Occasionally",3,12,"No","","Disagree",2,"Disagree",2,"Disagree",2,"Neither agree or disagree",3,9,"18-24","Female","","South East","East Sussex","Sub-urban","Bn2 4EE ","No","No","","","Undergraduate degree","","Education","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"","","18-24",90
"2395","NatRep","692676-692667-71608118",2,"00:05:05","01/02/2021","16:16:02","01/02/2021","16:21:07","Yes","D",0,"No","","TRUE",1,"TRUE",1,"TRUE",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,NA,NA,"","No","","I know something about it",0,1,0,0,0,0,0,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,"","Beautiful","Interesting","Long ","Strongly agree",5,"Strongly agree",5,"Strongly agree",1,"Strongly agree",1,"Strongly agree",5,"Strongly agree",5,"Strongly agree",5,"Strongly agree",1,"Strongly agree",1,"Strongly agree",1,"Strongly agree",1,"Strongly agree",5,"Strongly agree",5,"Strongly agree",1,3,"Strongly agree",5,"No","","Not sure","",1,1,0,0,0,0,0,0,0,0,0,0,0,"","1-2 days",1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,"","Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,59,"Concerned","Concerned",8,"Always",7,"Always",7,"Always",7,"Always",7,28,"No","","Strongly agree",5,"Strongly agree",5,"Strongly agree",5,"Strongly agree",1,16,"25-34","Female","","North East",NA,"Rural","Dn33","No","No","","","Further Education","","Healthcare","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","25-34",100
"2396","NatRep","692676-692667-71609332",3,"00:04:38","01/02/2021","16:28:32","01/02/2021","16:33:10","No","D",0,"Yes","","FALSE",0,"FALSE",0,"TRUE",0,0,0,1,1,1,0,0,0,0,0,0,0,0,6,0.5,1,1,0,1,0,0,3,0.6,0,0,1,0,0,0,2,0.4,1.5,0,0,0,1,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,1,0,1,0,0,0,"","Rare","Unique","Fascinating","Strongly agree",5,"Agree",4,"Neutral",3,"Neutral",3,"Strongly agree",5,"Agree",4,"Neutral",3,"Strongly agree",1,"Strongly agree",1,"Agree",2,"Strongly agree",1,"Agree",4,"Strongly agree",5,"Strongly agree",1,3,"Neutral",3,"Not sure","","Not interested","",1,0,0,1,0,0,0,0,0,0,1,0,0,"","1-2 days",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Agree",5,"Strongly agree",6,"Strongly agree",6,"Agree",5,"Strongly agree",6,"Strongly agree",6,51,"Extremely concerned","Extremely concerned",10,"Sometimes",4,"Rarely",2,"Never",1,"Never",1,8,"No","","Neither agree or disagree",3,"Neither agree or disagree",3,"Strongly disagree",1,"Strongly agree",1,8,"18-24","Male","","Scotland",NA,"Urban","G13","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Unemployed","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","18-24",82
"2409","NatRep","692676-692667-71615208",16,"00:03:45","01/02/2021","17:30:56","01/02/2021","17:34:41","Yes","B",1,"Not sure","","TRUE",1,"TRUE",1,"TRUE",0,2,0,0,0,1,0,1,0,0,0,0,1,0,2,0.2,0,0,1,0,0,0,3,0.6,0,0,1,1,0,0,3,0.6,4.4,0,0,1,0,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,1,0,0,0,0,0,0,0,0,"","","","","Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,3,"Neutral",3,"Yes","","Not sure","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","1-2 days",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,18,"Neither concerned or unconcerned","Neither concerned or unconcerned",6,"Occasionally",3,"Occasionally",3,"Occasionally",3,"Rarely",2,11,"No","","Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,12,"45-54","Male","","Greater London",NA,"Sub-urban","cr0 ","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Architecture, Energy & Engineering","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","45-54",51
